County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Westchester,New Rochelle City PD,2005,12,1688,260,3,4,146,107,1428,177,1147,104,Non-New York City
Livingston,Livingston County Park PD,1999,,13,0,0,0,0,0,13,2,11,0,Non-New York City
Wayne,Palmyra Vg PD,2000,,84,2,0,0,0,2,82,7,74,1,Non-New York City
Westchester,Westchester County State Police,2009,12,730,69,1,8,8,52,661,110,535,16,Non-New York City
Tompkins,Freeville Vg PD,2003,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
St Lawrence,St Lawrence County (RR-RC),1991,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Nassau,Rockville Centre Vg PD,1993,,694,47,0,1,28,18,647,86,453,108,Non-New York City
Wyoming,Attica Vg PD,2009,12,17,2,0,2,0,0,15,0,15,0,Non-New York City
Sullivan,Liberty Vg PD,2003,12,212,19,1,1,1,16,193,32,155,6,Non-New York City
Saratoga,Waterford Town and Vg PD,2004,12,79,0,0,0,0,0,79,15,61,3,Non-New York City
Otsego,Otsego County State Police,1998,,546,81,0,1,4,76,465,116,341,8,Non-New York City
Tioga,Owego Vg PD,2009,12,28,3,0,0,0,3,25,8,17,0,Non-New York City
Erie,Depew Vg PD,1996,,587,29,1,4,5,19,558,88,415,55,Non-New York City
Washington,County Total,2009,,769,60,0,9,4,47,709,164,515,30,Non-New York City
Allegany,Andover Vg PD,1995,,25,4,1,0,0,3,21,4,15,2,Non-New York City
Lewis,Lewis County State Police,2004,12,92,15,0,1,0,14,77,25,50,2,Non-New York City
Erie,Evans Town PD,1993,,463,62,0,2,5,55,401,83,288,30,Non-New York City
Erie,Orchard Park Town PD,2014,12,404,12,1,0,4,7,392,71,308,13,Non-New York City
Putnam,Putnam County Sheriff,1994,,359,20,1,3,1,15,339,136,194,9,Non-New York City
Ontario,Shortsville Vg PD,2004,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Sullivan,Monticello Vg PD,2001,,377,80,0,3,14,63,297,54,240,3,Non-New York City
Genesee,Genesee County Sheriff,1990,,600,20,0,7,2,11,580,148,411,21,Non-New York City
Jefferson,Jefferson County Park PD,1997,,30,0,0,0,0,0,30,0,30,0,Non-New York City
Livingston,Nunda Town and Vg PD,2009,12,22,2,0,0,0,2,20,4,16,0,Non-New York City
Nassau,Rockville Centre Vg PD,2012,12,360,32,0,0,17,15,328,45,273,10,Non-New York City
Chenango,Chenango County Park PD,2005,12,4,0,0,0,0,0,4,1,3,0,Non-New York City
Wayne,Sodus Vg PD,1990,,31,2,0,0,0,2,29,3,26,0,Non-New York City
Oneida,County Total,1998,,7237,630,6,76,184,364,6607,1504,4726,377,Non-New York City
Westchester,Larchmont Vg PD,2006,12,105,3,0,0,0,3,102,13,85,4,Non-New York City
Monroe,Fairport Vg PD,2008,12,65,5,0,1,0,4,60,19,40,1,Non-New York City
Monroe,East Rochester Vg PD,1999,,252,14,0,0,3,11,238,36,187,15,Non-New York City
Nassau,Freeport Vg PD,1999,,1279,234,1,3,109,121,1045,116,715,214,Non-New York City
Erie,Lancaster Town PD,2013,12,562,15,0,1,4,10,547,44,494,9,Non-New York City
Onondaga,Liverpool Vg PD,1996,,69,1,0,0,1,0,68,17,49,2,Non-New York City
Niagara,Niagara Town PD,2006,12,323,12,0,0,6,6,311,60,229,22,Non-New York City
Oswego,Oswego County (RR-CSX),2002,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Jefferson,Black River Vg PD,2013,12,14,0,0,0,0,0,14,2,12,0,Non-New York City
Dutchess,Fishkill Town PD,2006,12,261,11,1,2,3,5,250,39,194,17,Non-New York City
Essex,Essex County State Police,2011,12,365,19,0,6,0,13,346,125,209,12,Non-New York City
Rensselaer,Troy City PD,2011,12,2689,371,0,23,112,236,2318,775,1442,101,Non-New York City
Cattaraugus,Olean City PD,1993,,762,83,0,2,7,74,679,84,587,8,Non-New York City
Chautauqua,SUNY College At Fredonia,1994,,122,0,0,0,0,0,122,17,105,0,Non-New York City
Oneida,SUNY College At Utica/Rome,1996,,19,0,0,0,0,0,19,1,18,0,Non-New York City
Franklin,Franklin County State Police,2012,12,416,28,1,9,0,18,388,106,264,18,Non-New York City
Columbia,County Total,1997,,1734,302,2,6,30,264,1432,367,1025,40,Non-New York City
Orange,Orange County Park PD,2006,12,5,0,0,0,0,0,5,1,4,0,Non-New York City
Oneida,Whitesboro Vg PD,1992,,68,8,0,1,0,7,60,15,44,1,Non-New York City
Erie,Lancaster Town PD,2012,12,531,15,0,1,7,7,516,60,446,10,Non-New York City
Schoharie,SUNY College at Cobleskill,2007,12,86,1,0,0,0,1,85,28,57,0,Non-New York City
Erie,Erie County State Police,1990,,1064,111,0,3,4,104,953,191,706,56,Non-New York City
Herkimer,Dolgeville Vg PD,2007,12,43,1,0,1,0,0,42,6,36,0,Non-New York City
Ulster,Olive Town PD,2014,12,24,2,0,0,0,2,22,10,12,0,Non-New York City
Orange,County Total,2011,,9008,1016,9,59,393,555,7992,1409,6346,237,Non-New York City
Chautauqua,Chautauqua County Sheriff,2005,12,1065,51,1,7,7,36,1014,232,753,29,Non-New York City
Ulster,Marlborough Town PD,1999,,107,3,0,0,1,2,104,18,79,7,Non-New York City
Erie,Erie County State Police,2011,12,472,21,0,6,1,14,451,56,384,11,Non-New York City
Franklin,Tupper Lake Vg PD,1993,,104,15,0,0,0,15,89,14,73,2,Non-New York City
Nassau,Hempstead Vg PD,1999,,1916,550,5,22,245,278,1366,238,681,447,Non-New York City
Delaware,Colchester Town PD,1996,,19,5,0,0,0,5,14,6,7,1,Non-New York City
Jefferson,Brownville Vg PD,2006,0,,,,,,,,,,,Non-New York City
Delaware,Colchester Town PD,2001,,17,3,0,0,0,3,14,8,6,0,Non-New York City
Columbia,County Total,1991,,2323,363,1,8,31,323,1960,559,1332,69,Non-New York City
Livingston,Livingston County Park PD,1997,,21,0,0,0,0,0,21,2,18,1,Non-New York City
Ulster,Kingston City PD,1995,,1173,76,3,15,25,33,1097,168,886,43,Non-New York City
Westchester,Pelham Vg PD,1997,,206,11,0,0,8,3,195,36,123,36,Non-New York City
Ulster,New Paltz Town and Vg PD,1998,,435,114,0,1,13,100,321,56,246,19,Non-New York City
Putnam,Kent Town PD,2010,12,96,5,0,0,1,4,91,19,66,6,Non-New York City
Oneida,Whitestown Town PD,2014,12,71,0,0,0,0,0,71,16,55,0,Non-New York City
Jefferson,Watertown City PD,2010,12,1284,118,3,14,20,81,1166,171,972,23,Non-New York City
Herkimer,Ilion Vg PD,1994,,268,19,0,1,0,18,249,28,221,0,Non-New York City
Schenectady,Schenectady City PD,2004,12,3416,510,7,38,173,292,2906,718,1935,253,Non-New York City
Schenectady,Schenectady County Sheriff,2004,12,34,20,0,2,2,16,14,3,10,1,Non-New York City
Chautauqua,Chautauqua County Sheriff,2007,12,946,50,0,19,5,26,896,239,629,28,Non-New York City
Niagara,Middleport Vg PD,1992,,54,0,0,0,0,0,54,4,50,0,Non-New York City
Oneida,Utica City PD,2002,12,3168,365,5,21,190,149,2803,790,1866,147,Non-New York City
Tompkins,Tompkins County State Police,1994,,350,25,0,0,0,25,325,97,221,7,Non-New York City
Rensselaer,Rensselaer City PD,2010,12,232,19,0,2,7,10,213,34,160,19,Non-New York City
Schenectady,Schenectady County (RR-D and H),1997,,5,0,0,0,0,0,5,3,2,0,Non-New York City
Montgomery,Montgomery County State Police,2005,12,112,20,0,2,0,18,92,21,69,2,Non-New York City
Tioga,Waverly Vg PD,2005,12,124,4,0,0,0,4,120,19,99,2,Non-New York City
Albany,Bethlehem Town PD,1990,,569,55,0,3,2,50,514,141,366,7,Non-New York City
Erie,Erie County Park PD,1997,,9,0,0,0,0,0,9,1,8,0,Non-New York City
Allegany,Wellsville Vg PD,2000,,203,41,0,0,0,41,162,13,148,1,Non-New York City
Richmond,County Total,1997,,11346,2571,16,55,959,1541,8775,1675,4846,2254,New York City
Cortland,Cortland City PD,1992,,1095,42,3,14,8,17,1053,183,845,25,Non-New York City
Essex,Ticonderoga Town PD,2011,12,184,22,0,7,0,15,162,47,110,5,Non-New York City
Erie,Erie County State Police,1999,,646,80,0,1,5,74,566,135,391,40,Non-New York City
Westchester,Ossining Town PD,2005,12,51,1,0,0,0,1,50,10,38,2,Non-New York City
Schoharie,SUNY College At Cobleskill,1995,,104,2,0,0,0,2,102,44,56,2,Non-New York City
Ulster,Lloyd Town PD,2000,,57,20,0,1,2,17,37,1,36,0,Non-New York City
Rockland,Ramapo Town PD,2007,12,688,64,0,1,13,50,624,98,503,23,Non-New York City
Oneida,County Total,2012,,6389,595,2,44,164,385,5794,1212,4387,195,Non-New York City
Franklin,Tupper Lake Vg PD,2017,12,94,5,0,0,1,4,89,12,74,3,Non-New York City
Oneida,County Total,2016,,5233,661,4,160,141,356,4572,854,3565,153,Non-New York City
Saratoga,Saratoga County State Police,1992,,950,46,0,9,5,32,904,230,654,20,Non-New York City
Herkimer,Webb Town PD,1994,,64,2,0,1,0,1,62,18,40,4,Non-New York City
Madison,Hamilton Vg PD,1993,,75,5,0,0,0,5,70,12,55,3,Non-New York City
Monroe,Greece Town PD,2017,12,2110,174,3,29,62,80,1936,243,1592,101,Non-New York City
Rockland,Suffern Vg PD,2002,12,116,11,0,0,1,10,105,20,82,3,Non-New York City
Allegany,Rushford Town PD,2011,12,8,0,0,0,0,0,8,3,5,0,Non-New York City
Herkimer,Herkimer County Sheriff,1992,,13,0,0,0,0,0,13,0,13,0,Non-New York City
Dutchess,Dutchess County Park PD,2003,12,9,0,0,0,0,0,9,2,7,0,Non-New York City
Monroe,County Total,2015,,20531,2526,39,289,831,1367,18005,3149,13789,1067,Non-New York City
Oneida,Oneida County Park PD,2005,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Rensselaer,Nassau Vg PD,1994,,15,0,0,0,0,0,15,4,11,0,Non-New York City
Jefferson,County Total,1994,,2821,179,3,41,27,108,2642,562,2029,51,Non-New York City
Albany,Cohoes City PD,2014,12,263,39,0,1,12,26,224,50,153,21,Non-New York City
Greene,Athens Vg PD,1993,,40,5,0,0,0,5,35,9,25,1,Non-New York City
Westchester,New Rochelle City PD,1990,,2734,312,1,15,189,107,2422,576,1348,498,Non-New York City
Onondaga,East Syracuse Vg PD,2003,12,256,13,0,1,5,7,243,30,200,13,Non-New York City
Cattaraugus,Franklinville Vg PD,2004,12,19,10,0,0,3,7,9,6,3,0,Non-New York City
Cattaraugus,Ellicottville Town PD,1997,,125,4,0,0,0,4,121,7,113,1,Non-New York City
Orange,Greenwood Lake Vg PD,1994,,148,32,0,1,3,28,116,36,76,4,Non-New York City
Steuben,Canisteo Vg PD,1990,,63,1,0,0,0,1,62,20,39,3,Non-New York City
Broome,Port Dickinson Vg PD,1995,,14,0,0,0,0,0,14,0,14,0,Non-New York City
Westchester,Westchester County State Police,2001,,620,96,1,5,5,85,524,83,377,64,Non-New York City
Chautauqua,Silver Creek Vg PD,1996,,92,20,0,0,0,20,72,7,63,2,Non-New York City
Lewis,County Total,1996,,419,34,0,3,0,31,385,169,208,8,Non-New York City
Wayne,Wayne County State Police,2005,12,563,63,0,19,5,39,500,154,320,26,Non-New York City
Erie,Buffalo City PD,1992,,33147,6367,76,346,2998,2947,26780,8210,13085,5485,Non-New York City
Madison,Madison County Park PD,1992,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Wayne,Wayne County State Police,1991,,865,44,1,6,6,31,821,216,560,45,Non-New York City
Albany,Coeymans Town PD,2005,12,89,8,0,0,1,7,81,20,56,5,Non-New York City
Bronx,County Total,2011,,35130,12267,148,204,4580,7335,22863,3395,17358,2110,New York City
Columbia,Germantown Town PD,1990,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Dutchess,Rhinebeck Vg PD,2004,12,30,1,0,0,0,1,29,7,22,0,Non-New York City
Cattaraugus,Olean City PD,2017,12,413,32,1,5,4,22,381,27,351,3,Non-New York City
Oneida,Camden Vg PD,2012,12,80,7,0,0,1,6,73,16,55,2,Non-New York City
Westchester,SUNY College At Purchase,2000,,114,2,0,0,0,2,112,3,109,0,Non-New York City
Ulster,New Paltz Town and Vg PD,2006,12,332,63,0,5,4,54,269,39,223,7,Non-New York City
Broome,Broome County State Police,2004,12,718,40,1,7,8,24,678,101,553,24,Non-New York City
Westchester,SUNY College at Purchase,2004,12,151,2,0,2,0,0,149,14,135,0,Non-New York City
Schenectady,Schenectady City PD,2017,12,2639,581,2,59,141,379,2058,347,1538,173,Non-New York City
Suffolk,SUNY College At Farmingdale,2000,,72,6,0,0,2,4,66,7,58,1,Non-New York City
Westchester,Irvington Vg PD,1994,,96,5,0,0,0,5,91,31,50,10,Non-New York City
Orange,New Windsor Town PD,2000,,609,54,0,3,9,42,555,112,431,12,Non-New York City
Clinton,Clinton County Park PD,2010,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Steuben,Bath Vg PD,2011,12,178,25,0,3,2,20,153,29,124,0,Non-New York City
Erie,Lackawanna City PD,1992,,1083,252,1,4,32,215,831,163,493,175,Non-New York City
Onondaga,Manlius Town PD,1990,,750,15,1,1,1,12,735,126,600,9,Non-New York City
Chemung,Elmira Town PD,2009,12,14,0,0,0,0,0,14,4,10,0,Non-New York City
Montgomery,County Total,1991,,1115,50,3,5,9,33,1065,272,755,38,Non-New York City
Onondaga,SUNY - Upstate Medical Center,1995,,373,7,0,1,0,6,366,2,364,0,Non-New York City
Nassau,Kings Point Vg PD,2003,12,14,1,0,0,0,1,13,3,10,0,Non-New York City
Westchester,Irvington Vg PD,2005,12,8,0,0,0,0,0,8,4,3,1,Non-New York City
St Lawrence,SUNY College At Potsdam,2001,,109,3,0,2,0,1,106,11,93,2,Non-New York City
Essex,Lake Placid Vg PD,2003,12,86,3,0,1,1,1,83,4,78,1,Non-New York City
Madison,Madison County State Police,1998,,366,37,2,5,1,29,329,136,189,4,Non-New York City
Chenango,Norwich City PD,1997,,308,32,0,0,2,30,276,38,232,6,Non-New York City
Livingston,County Total,1993,,1701,135,1,12,8,114,1566,225,1297,44,Non-New York City
Westchester,Westchester County Park PD,2014,12,9,2,0,0,0,2,7,1,6,0,Non-New York City
Westchester,County Total,2011,,16283,2557,21,71,1034,1431,13726,2125,10823,778,Non-New York City
Nassau,Old Brookville Vg PD,2011,11,56,0,0,0,0,0,56,8,48,0,Non-New York City
Steuben,Corning City PD,2008,12,387,33,0,5,2,26,354,72,276,6,Non-New York City
Dutchess,Poughkeepsie City PD,1991,,2273,374,6,13,197,158,1899,572,1217,110,Non-New York City
Richmond,County Total,2010,,6819,1351,17,44,424,866,5468,611,4509,348,New York City
Oswego,Oswego County Park PD,2009,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Essex,Essex County (RR-D and H),1992,,6,0,0,0,0,0,6,0,6,0,Non-New York City
Saratoga,South Glens Falls Vg PD,2008,12,148,5,0,2,1,2,143,19,122,2,Non-New York City
Jefferson,Watertown City PD,2008,12,1429,143,0,12,20,111,1286,194,1035,57,Non-New York City
New York,County Total,1998,,89805,18054,104,323,8849,8778,71751,9637,56365,5749,New York City
Putnam,Cold Spring Vg PD,2007,12,29,1,0,0,0,1,28,9,19,0,Non-New York City
Schuyler,Watkins Glen Vg PD,1990,,137,1,0,0,1,0,136,10,124,2,Non-New York City
St Lawrence,SUNY College At Canton,1997,,96,5,0,2,1,2,91,7,81,3,Non-New York City
Suffolk,SUNY College at Farmingdale,2007,12,38,0,0,0,0,0,38,0,37,1,Non-New York City
Onondaga,Onondaga County Park Rangers,1996,,33,1,0,0,0,1,32,12,19,1,Non-New York City
Westchester,Bedford Town PD,2013,12,161,5,0,0,1,4,156,26,126,4,Non-New York City
Westchester,Croton-Kensico PCT (NYC-BWSP),1999,,44,1,0,0,0,1,43,0,42,1,Non-New York City
Onondaga,Marcellus Vg PD,2014,12,11,0,0,0,0,0,11,3,8,0,Non-New York City
Orange,Newburgh Town PD,2011,12,1172,42,0,0,22,20,1130,113,981,36,Non-New York City
Essex,Moriah Town PD,1997,,4,0,0,0,0,0,4,4,0,0,Non-New York City
Madison,SUNY College At Morrisville,1994,,85,1,0,1,0,0,84,10,74,0,Non-New York City
Orange,Florida Vg PD,2014,12,24,0,0,0,0,0,24,2,22,0,Non-New York City
Hamilton,Hamilton County Sheriff,1996,,18,0,0,0,0,0,18,8,7,3,Non-New York City
Delaware,County Total,1995,,1153,92,0,2,4,86,1061,363,663,35,Non-New York City
Fulton,Fulton County State Police,2014,12,114,7,0,2,1,4,107,38,65,4,Non-New York City
Columbia,Germantown Town PD,1994,,5,1,0,0,0,1,4,1,3,0,Non-New York City
Steuben,Corning City PD,1999,,661,52,0,9,8,35,609,94,507,8,Non-New York City
Orange,Highlands Town PD,2005,12,15,3,0,0,1,2,12,1,11,0,Non-New York City
Allegany,Alfred Vg PD,2013,12,51,5,0,0,3,2,46,10,36,0,Non-New York City
Essex,County Total,1991,,899,82,0,2,2,78,817,269,527,21,Non-New York City
Chautauqua,Chautauqua County State Police,2000,,232,22,0,2,0,20,210,61,144,5,Non-New York City
Warren,Warren County State Police,1990,,317,6,0,2,1,3,311,54,247,10,Non-New York City
Oswego,Oswego County Sheriff,1994,,798,13,0,7,2,4,785,230,522,33,Non-New York City
Suffolk,Riverhead Town PD,1996,,933,169,4,0,19,146,764,289,446,29,Non-New York City
St Lawrence,County Total,1994,,3446,208,2,27,15,164,3238,697,2465,76,Non-New York City
Orange,Blooming Grove Town PD,1991,,214,9,0,2,1,6,205,82,113,10,Non-New York City
Suffolk,Westhampton Beach Vg PD,1992,,152,30,0,0,1,29,122,42,69,11,Non-New York City
Warren,Warren County State Police,1995,,221,13,2,0,2,9,208,39,163,6,Non-New York City
Broome,Special Investigator Task Force,2012,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Erie,Evans Town PD,2007,12,298,17,0,1,0,16,281,64,200,17,Non-New York City
Suffolk,East Hampton Vg PD,2009,12,116,9,0,0,1,8,107,11,94,2,Non-New York City
Erie,West Seneca Town PD,1994,,1316,105,0,6,28,71,1211,147,897,167,Non-New York City
Erie,East Aurora-Town Of Aurora PD,2006,12,191,3,0,0,1,2,188,20,163,5,Non-New York City
St Lawrence,St Lawrence County State Police,1999,,515,61,2,7,0,52,454,153,289,12,Non-New York City
Ontario,Geneva City PD,2014,12,374,24,0,5,4,15,350,79,267,4,Non-New York City
Erie,Erie County Park PD,1996,,6,0,0,0,0,0,6,1,4,1,Non-New York City
Rockland,Piermont Vg PD,2012,12,41,1,0,0,0,1,40,7,30,3,Non-New York City
Monroe,Brockport Vg PD,2000,,274,22,0,4,1,17,252,54,190,8,Non-New York City
Cattaraugus,County Total,2008,,1930,215,2,24,20,169,1715,383,1280,52,Non-New York City
Nassau,Lake Success Vg PD,2000,,49,4,0,0,1,3,45,6,26,13,Non-New York City
Monroe,Fairport Vg PD,2004,12,88,5,0,0,2,3,83,17,58,8,Non-New York City
Westchester,New Castle Town PD,2001,,144,7,0,0,1,6,137,24,106,7,Non-New York City
Chemung,Elmira Heights Vg PD,1991,,248,28,0,2,1,25,220,39,177,4,Non-New York City
Saratoga,Mechanicville City PD,2009,12,109,8,0,2,3,3,101,23,75,3,Non-New York City
Madison,Hamilton Vg PD,1990,,115,6,1,0,0,5,109,25,78,6,Non-New York City
Westchester,Yonkers City PD,2011,12,4271,1097,7,36,463,591,3174,753,2123,298,Non-New York City
Genesee,Genesee County Sheriff,2010,12,684,38,0,8,7,23,646,109,513,24,Non-New York City
St Lawrence,Ogdensburg City PD,1999,,526,7,0,0,0,7,519,96,410,13,Non-New York City
Sullivan,Woodridge Vg PD,2005,12,18,6,0,0,0,6,12,2,9,1,Non-New York City
Westchester,Ossining Vg PD,2000,,516,104,1,2,11,90,412,71,295,46,Non-New York City
Putnam,Brewster Vg PD,2003,0,,,,,,,,,,,Non-New York City
Cattaraugus,County Total,2001,,1897,190,1,20,9,160,1707,315,1330,62,Non-New York City
Rensselaer,Rensselaer County Park PD,2010,12,7,0,0,0,0,0,7,0,7,0,Non-New York City
Clinton,County Total,2013,,1666,111,3,21,9,78,1555,262,1254,39,Non-New York City
Nassau,Kings Point Vg PD,2006,12,13,1,0,0,0,1,12,0,10,2,Non-New York City
Chenango,County Total,2003,,1228,112,0,19,1,92,1116,240,858,18,Non-New York City
Columbia,County Total,1995,,1756,322,1,8,37,276,1434,403,981,50,Non-New York City
Onondaga,Baldwinsville Vg PD,1998,,201,12,0,0,1,11,189,20,162,7,Non-New York City
Rockland,Orangetown Town PD,1993,,1008,97,0,4,25,68,911,217,652,42,Non-New York City
Albany,Albany County State Police,2005,12,249,32,2,2,5,23,217,27,187,3,Non-New York City
Dutchess,Poughkeepsie City PD,1997,,1710,221,2,21,140,58,1489,368,1024,97,Non-New York City
Onondaga,Onondaga County Sheriff,2006,12,2046,167,2,23,51,91,1879,399,1399,81,Non-New York City
Orange,County Total,2000,,8755,1014,5,51,277,681,7741,1320,6084,337,Non-New York City
Allegany,Wellsville Vg PD,2006,12,206,29,1,0,1,27,177,24,149,4,Non-New York City
Westchester,Sleepy Hollow Vg PD,1992,,262,48,0,2,7,39,214,54,140,20,Non-New York City
Chautauqua,Dunkirk City PD,1999,,425,55,0,2,13,40,370,66,296,8,Non-New York City
Tompkins,County Total,2004,,2263,116,2,21,31,62,2147,304,1799,44,Non-New York City
Ulster,Saugerties Vg PD,1999,,61,10,0,0,0,10,51,5,45,1,Non-New York City
Ulster,SUNY College at New Paltz,2004,12,107,3,0,1,0,2,104,11,93,0,Non-New York City
Otsego,Oneonta City PD,2014,12,266,18,0,0,5,13,248,45,202,1,Non-New York City
Columbia,Chatham Vg PD,2003,12,81,13,0,0,1,12,68,5,59,4,Non-New York City
Westchester,Mamaroneck Town PD,1996,,239,6,0,0,4,2,233,28,159,46,Non-New York City
Chenango,Chenango County State Police,2010,12,189,23,0,8,0,15,166,60,101,5,Non-New York City
Dutchess,Pine Plains Town PD,2014,11,9,0,0,0,0,0,9,0,9,0,Non-New York City
Suffolk,Head-of-the-Harbor Vg PD,2002,12,14,1,0,0,0,1,13,4,9,0,Non-New York City
Suffolk,Amityville Vg PD,2012,12,210,10,0,0,7,3,200,22,170,8,Non-New York City
Franklin,County Total,1990,,1166,226,1,5,8,212,940,286,633,21,Non-New York City
Broome,County Total,2002,,6288,468,9,56,128,275,5820,767,4872,181,Non-New York City
Albany,SUNY - Albany,2000,,388,5,0,0,2,3,383,47,330,6,Non-New York City
Dutchess,Dutchess County State Police,2009,12,778,86,0,13,11,62,692,143,531,18,Non-New York City
Warren,Warren County Sheriff,2017,12,578,48,1,23,6,18,530,68,449,13,Non-New York City
Erie,Evans Town PD,2009,12,332,20,0,1,3,16,312,47,246,19,Non-New York City
Tompkins,Cayuga Heights Vg PD,2011,12,37,1,0,0,0,1,36,2,34,0,Non-New York City
Washington,Hudson Falls Vg PD,2011,12,161,18,0,4,2,12,143,31,110,2,Non-New York City
Chautauqua,SUNY College At Fredonia,1990,,125,0,0,0,0,0,125,16,109,0,Non-New York City
Oswego,Oswego County Park PD,2012,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Westchester,Tuckahoe Vg PD,2003,12,80,16,0,0,4,12,64,13,44,7,Non-New York City
Niagara,Niagara Town PD,1996,,399,28,0,0,1,27,371,35,307,29,Non-New York City
Chemung,Elmira Heights Vg PD,2014,12,79,2,0,1,0,1,77,10,64,3,Non-New York City
Monroe,Monroe County State Police,2008,12,81,28,0,9,2,17,53,3,50,0,Non-New York City
Steuben,County Total,1991,,3509,200,1,13,7,179,3309,709,2494,106,Non-New York City
Oswego,Pulaski Vg PD,1999,,46,0,0,0,0,0,46,1,43,2,Non-New York City
Allegany,Belmont Vg PD,1999,,3,1,0,0,0,1,2,1,1,0,Non-New York City
Nassau,Floral Park Vg PD,2008,12,92,9,0,0,7,2,83,11,65,7,Non-New York City
Ontario,Geneva City PD,1990,,346,15,0,7,3,5,331,37,294,0,Non-New York City
Schuyler,Schuyler County Park PD,1997,,9,0,0,0,0,0,9,1,8,0,Non-New York City
Cortland,Homer Vg PD,2013,12,33,0,0,0,0,0,33,3,29,1,Non-New York City
Saratoga,Saratoga County State Police,2007,12,834,85,0,13,9,63,749,118,612,19,Non-New York City
Broome,Broome County (RR-RC) ,1998,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Delaware,SUNY College At Delhi,1997,,36,4,0,0,0,4,32,21,11,0,Non-New York City
Saratoga,Saratoga County State Police,1996,,698,62,1,10,9,42,636,173,443,20,Non-New York City
Cortland,Cortland County State Police,1990,,245,18,1,3,5,9,227,60,162,5,Non-New York City
Schoharie,SUNY College At Cobleskill,1996,,108,2,0,0,1,1,106,36,70,0,Non-New York City
Schenectady,Niskayuna Town PD,1993,,546,39,0,0,4,35,507,85,409,13,Non-New York City
Suffolk,Suffolk County PD,2011,12,26797,1862,32,42,748,1040,24935,4342,19424,1169,Non-New York City
Nassau,Nassau County Park PD,1999,,120,8,0,0,1,7,112,10,96,6,Non-New York City
Westchester,Buchanan Vg PD,1995,,43,5,0,0,0,5,38,14,23,1,Non-New York City
Schenectady,Schenectady County (RR-D and H),1995,,4,0,0,0,0,0,4,0,4,0,Non-New York City
Westchester,Mount Vernon City PD,2000,,2313,376,6,15,167,188,1937,455,1088,394,Non-New York City
Greene,Catskill Vg PD,1991,,446,33,0,2,5,26,413,87,314,12,Non-New York City
Greene,Durham Town PD,2011,12,8,0,0,0,0,0,8,4,4,0,Non-New York City
Sullivan,Liberty Vg PD,2001,,229,27,0,2,4,21,202,31,168,3,Non-New York City
Wayne,County Total,2009,,1774,140,0,21,25,94,1634,399,1187,48,Non-New York City
Onondaga,Onondaga County Park PD,2003,12,15,0,0,0,0,0,15,0,15,0,Non-New York City
Essex,Essex County State Police,1999,,404,77,1,12,2,62,327,120,196,11,Non-New York City
Wayne,County Total,1990,,2604,179,5,19,24,131,2425,543,1813,69,Non-New York City
Steuben,Cohocton Town PD,2013,12,15,4,0,1,0,3,11,4,7,0,Non-New York City
Saratoga,Mechanicville City PD,1995,,127,22,0,0,0,22,105,29,69,7,Non-New York City
Livingston,County Total,2000,,1552,88,1,3,4,80,1464,230,1210,24,Non-New York City
Delaware,Walton Vg PD,2005,12,84,12,0,1,0,11,72,19,52,1,Non-New York City
Suffolk,SUNY - Stony Brook,2007,12,629,8,0,0,1,7,621,23,593,5,Non-New York City
Albany,Guilderland Town PD,2009,12,736,19,0,3,8,8,717,48,658,11,Non-New York City
Nassau,Lynbrook Vg PD,1998,,254,19,0,1,10,8,235,42,167,26,Non-New York City
Ulster,Olive Town PD,1998,,13,0,0,0,0,0,13,1,12,0,Non-New York City
Rensselaer,Rensselaer Poly Tech Police,2014,12,60,0,0,0,0,0,60,0,60,0,Non-New York City
Jefferson,Jefferson County State Police,2012,12,714,25,1,1,2,21,689,159,506,24,Non-New York City
Westchester,New Rochelle City PD,1996,,2677,199,2,10,103,84,2478,398,1754,326,Non-New York City
Cayuga,Cayuga County (RR-RC),1998,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Clinton,Clinton County State Police,1995,,1181,176,4,5,4,163,1005,297,688,20,Non-New York City
Herkimer,Webb Town PD,1990,,54,0,0,0,0,0,54,18,28,8,Non-New York City
St Lawrence,St Lawrence County State Police,1993,,713,68,1,12,0,55,645,231,391,23,Non-New York City
Columbia,Stockport Town PD,2005,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Sullivan,Sullivan County State Police,2011,12,472,44,1,11,1,31,428,167,244,17,Non-New York City
Madison,Madison County (RR-CSX),2003,0,,,,,,,,,,,Non-New York City
Chemung,Horseheads Vg PD,1993,,332,34,0,1,1,32,298,26,269,3,Non-New York City
